user_id,time
98047837,6/12/19
97726136,9/12/19
98607707,18/12/19
98662432,6/12/19
98145908,16/12/19
93784494,3/12/19
94832743,13/12/19
95290487,27/11/19
96610296,11/12/19
100684618,5/12/19
100509623,8/12/19
101781721,13/12/19
103891828,1/12/19
101260672,12/12/19
104811265,11/12/19
103802946,20/11/19
104221274,14/12/19
110418606,9/12/19
100684618,26/11/19
100509623,21/11/19
101781721,12/12/19
103891828,8/12/19
101260672,28/11/19
104811265,5/12/19
103802946,23/11/19
104221274,29/11/19
110418606,25/11/19
100509623,15/12/19
101781721,16/12/19
101260672,17/12/19
104811265,15/12/19
103802946,18/12/19
104221274,4/12/19
110418606,24/11/19
100684618,11/12/19
100509623,26/11/19
101781721,18/12/19
103891828,11/12/19
101260672,25/11/19
103802946,7/12/19
100509623,19/11/19
101781721,14/12/19
103891828,24/11/19
104221274,24/11/19
100684618,12/12/19
101781721,17/12/19
101260672,16/12/19
104811265,4/12/19
103802946,14/12/19
104221274,8/12/19
116730636,17/12/19
100684618,6/12/19
103891828,16/12/19
103802946,12/12/19
104221274,23/11/19
116730636,9/12/19
100684618,14/12/19
100509623,24/11/19
101260672,14/12/19
103802946,13/12/19
104221274,18/12/19
116730636,13/12/19
100684618,10/12/19
101260672,19/11/19
104221274,6/12/19
116730636,24/11/19
100684618,16/12/19
100509623,22/11/19
103891828,28/11/19
104811265,12/12/19
104221274,7/12/19
116730636,15/12/19
100684618,23/11/19
100509623,17/12/19
103891828,5/12/19
104221274,2/12/19
100684618,3/12/19
103891828,4/12/19
104221274,18/11/19
100509623,12/12/19
104221274,5/12/19
103891828,12/12/19
101260672,18/12/19
116730636,28/11/19
100509623,11/12/19
100509623,23/11/19
104811265,9/12/19
103891828,17/12/19
104811265,1/12/19
106230218,6/12/19
103802946,6/12/19
116730636,16/12/19
100509623,16/12/19
106230218,15/12/19
103802946,29/11/19
101260672,24/11/19
106230218,3/12/19
103582986,9/12/19
106230218,11/12/19
103802946,26/11/19
104221274,21/11/19
100684618,15/12/19
103582986,17/12/19
116730636,18/12/19
103802946,11/12/19
100684618,22/11/19
103891828,13/12/19
106230218,9/12/19
103802946,27/11/19
104221274,1/12/19
103582986,18/11/19
106230218,29/11/19
100684618,18/12/19
103891828,23/11/19
116730636,11/12/19
103891828,6/12/19
103582986,12/12/19
104221274,15/12/19
116730636,14/12/19
103582986,19/11/19
106230218,23/11/19
103891828,22/11/19
103582986,15/12/19
103582986,10/12/19
116730636,12/12/19
100684618,24/11/19
106230218,10/12/19
103802946,25/11/19
103582986,29/11/19
106557109,22/11/19
103582986,14/12/19
106557109,13/12/19
103802946,16/12/19
104221274,25/11/19
103582986,1/12/19
106557109,28/11/19
100684618,1/12/19
103582986,4/12/19
106557109,15/12/19
103802946,18/11/19
104221274,9/12/19
100684618,18/11/19
106557109,3/12/19
101781721,15/12/19
103582986,18/12/19
106557109,29/11/19
100509623,20/11/19
103891828,14/12/19
103582986,11/12/19
106557109,1/12/19
103802946,30/11/19
116730636,7/12/19
110253038,23/11/19
106557109,18/11/19
116730636,8/12/19
110253038,11/12/19
103582986,27/11/19
110253038,18/12/19
103582986,8/12/19
106557109,21/11/19
